,DriverNumber,EventName,Year,Status,ProblemClass
146,24,Spanish Grand Prix,2022,Power loss,Power Unit
147,16,Spanish Grand Prix,2022,Turbo,Power Unit
148,23,Monaco Grand Prix,2022,Mechanical,Others
149,20,Monaco Grand Prix,2022,Water pressure,Cooling System
150,18,Azerbaijan Grand Prix,2022,Vibrations,Suspension and Drive
151,20,Azerbaijan Grand Prix,2022,Power Unit,Power Unit
152,24,Azerbaijan Grand Prix,2022,Hydraulics,Suspension and Drive
153,16,Azerbaijan Grand Prix,2022,Power Unit,Power Unit
154,55,Azerbaijan Grand Prix,2022,Hydraulics,Suspension and Drive
155,47,Canadian Grand Prix,2022,Engine,Engine
156,11,Canadian Grand Prix,2022,Gearbox,Transmission and Gearbox
157,55,Austrian Grand Prix,2022,Power Unit,Power Unit
158,6,Austrian Grand Prix,2022,Undertray,Aerodynamics and Tyres
159,22,French Grand Prix,2022,Undertray,Aerodynamics and Tyres
160,77,Hungarian Grand Prix,2022,Power Unit,Power Unit
161,77,Dutch Grand Prix,2022,Engine,Engine
162,22,Dutch Grand Prix,2022,Differential,Suspension and Drive
163,3,Italian Grand Prix,2022,Oil leak,Others
164,18,Italian Grand Prix,2022,Engine,Engine
165,14,Italian Grand Prix,2022,Water pressure,Cooling System
166,5,Italian Grand Prix,2022,Engine,Engine
167,31,Singapore Grand Prix,2022,Engine,Engine
168,14,Singapore Grand Prix,2022,Engine,Engine
169,23,Japanese Grand Prix,2022,Hydraulics,Suspension and Drive
170,14,Mexico City Grand Prix,2022,Engine,Engine
171,4,São Paulo Grand Prix,2022,Gearbox,Transmission and Gearbox
172,44,Abu Dhabi Grand Prix,2022,Hydraulics,Suspension and Drive
173,14,Abu Dhabi Grand Prix,2022,Water leak,Cooling System
174,20,British Grand Prix,2023,Engine,Engine
175,31,British Grand Prix,2023,Oil leak,Others
176,31,Bahrain Grand Prix,2023,Mechanical,Others
177,16,Bahrain Grand Prix,2023,Engine,Engine
178,81,Bahrain Grand Prix,2023,Electrical,Others
179,23,Saudi Arabian Grand Prix,2023,Brakes,Braking System
180,18,Saudi Arabian Grand Prix,2023,Engine,Engine
181,63,Australian Grand Prix,2023,Engine,Engine
182,24,Azerbaijan Grand Prix,2023,Overheating,Cooling System
183,63,Canadian Grand Prix,2023,Brakes,Braking System
184,2,Canadian Grand Prix,2023,Engine,Engine
185,27,Austrian Grand Prix,2023,Power loss,Power Unit
186,16,Dutch Grand Prix,2023,Undertray,Aerodynamics and Tyres
187,31,Italian Grand Prix,2023,Steering,Suspension and Drive
188,22,Italian Grand Prix,2023,Engine,Engine
189,77,Singapore Grand Prix,2023,Technical,Others
190,31,Singapore Grand Prix,2023,Gearbox,Transmission and Gearbox
191,18,Japanese Grand Prix,2023,Rear wing,Aerodynamics and Tyres
192,55,Qatar Grand Prix,2023,Fuel leak,Others
193,14,United States Grand Prix,2023,Undertray,Aerodynamics and Tyres
194,81,United States Grand Prix,2023,Radiator,Cooling System
195,63,São Paulo Grand Prix,2023,Overheating,Cooling System
196,77,São Paulo Grand Prix,2023,Engine,Engine
197,24,São Paulo Grand Prix,2023,Engine,Engine
198,16,São Paulo Grand Prix,2023,Engine,Engine
199,22,Las Vegas Grand Prix,2023,Gearbox,Transmission and Gearbox
200,27,Las Vegas Grand Prix,2023,Engine,Engine
201,23,Singapore Grand Prix,2024,Power Unit,Power Unit
202,10,Saudi Arabian Grand Prix,2024,Gearbox,Transmission and Gearbox
203,44,Australian Grand Prix,2024,Engine,Engine
204,1,Australian Grand Prix,2024,Brakes,Braking System
205,24,Japanese Grand Prix,2024,Gearbox,Transmission and Gearbox
206,16,Canadian Grand Prix,2024,Engine,Engine
207,63,British Grand Prix,2024,Water pressure,Cooling System
208,10,British Grand Prix,2024,Gearbox,Transmission and Gearbox
209,10,Hungarian Grand Prix,2024,Hydraulics,Suspension and Drive
210,22,Italian Grand Prix,2024,Overheating,Cooling System
211,14,Mexico City Grand Prix,2024,Brakes,Braking System
212,23,Las Vegas Grand Prix,2024,Radiator,Cooling System
213,10,Las Vegas Grand Prix,2024,Engine,Engine
